Current generation: 0 Number of solutions: 1000 Number of species: 1 Number of active species: 1 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.282045 Best fitness: 0.477143 Innovation number: 0 Average genome size: 2.000000 Average connection genes: 0.000000 Average field genes: 2.000000 Best solution: [solution 249 [ fit.: 0.477143, part.: (0.916099, 0.475206, 0.998142, 0.000000, 0.474829, ), spec.: 0, adj.fit.: 0.000477, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {}, last mutations{}]]
Current generation: 1 Number of solutions: 1000 Number of species: 3 Number of active species: 3 Has fitness improved: no Number of generations without improvement: 1 Average fitness: 0.357737 Best fitness: 0.732902 Innovation number: 0 Average genome size: 2.145000 Average connection genes: 0.145000 Average field genes: 2.000000 Best solution: [solution 1864 [ fit.: 0.732902, part.: (0.959357, 0.927597, 0.997280, 0.200000, 0.969433, ), spec.: 0, adj.fit.: 0.000735, age: 0, parents (216, 63), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 1 (mhk to gk)] [fg 2 (gk to mhk)] (added cg 1-2 innov.0) (mutated)}]]
Current generation: 2 Number of solutions: 1000 Number of species: 3 Number of active species: 3 Has fitness improved: no Number of generations without improvement: 2 Average fitness: 0.365460 Best fitness: 0.732969 Innovation number: 3 Average genome size: 2.781000 Average connection genes: 0.779000 Average field genes: 2.002000 Best solution: [solution 1864 [ fit.: 0.732969, part.: (0.959358, 0.927601, 0.997731, 0.200000, 0.969429, ), spec.: 0, adj.fit.: 0.000786, age: 1, parents (216, 63), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 3 Number of solutions: 1000 Number of species: 5 Number of active species: 5 Has fitness improved: no Number of generations without improvement: 3 Average fitness: 0.481088 Best fitness: 0.737066 Innovation number: 4 Average genome size: 2.889000 Average connection genes: 0.889000 Average field genes: 2.000000 Best solution: [solution 3272 [ fit.: 0.737066, part.: (0.984721, 0.937461, 0.997310, 0.200000, 0.961344, ), spec.: 0, adj.fit.: 0.001025, age: 0, parents (2147, 2391), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 4, enabled: true), }, last mutations{[fg 2 (fg gk width -0.500000)(fg gk amp.-0.500000)] (added cg 1-2 innov.4)[cg 1-2 (cg to excitatory)]  (mutated)}]]
Current generation: 4 Number of solutions: 1000 Number of species: 7 Number of active species: 7 Has fitness improved: no Number of generations without improvement: 4 Average fitness: 0.569966 Best fitness: 0.737123 Innovation number: 5 Average genome size: 2.973000 Average connection genes: 0.973000 Average field genes: 2.000000 Best solution: [solution 3272 [ fit.: 0.737123, part.: (0.984627, 0.937473, 0.997771, 0.200000, 0.961345, ), spec.: 0, adj.fit.: 0.001081, age: 1, parents (2147, 2391), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 4, enabled: true), }, last mutations{}]]
Current generation: 5 Number of solutions: 1000 Number of species: 8 Number of active species: 8 Has fitness improved: no Number of generations without improvement: 5 Average fitness: 0.600605 Best fitness: 0.738588 Innovation number: 5 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 5949 [ fit.: 0.738588, part.: (0.965216, 0.936079, 0.997169, 0.200000, 0.985072, ), spec.: 1, adj.fit.: 0.005129, age: 0, parents (4845, 4923), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 1 (fg gk amp.0.500000)] [fg 2 (gk to mhk)] [cg 1-2 (cg gk amp.-0.500000)(cg gk amp. glob.-0.050000)]  (mutated)}]]
Current generation: 6 Number of solutions: 1000 Number of species: 9 Number of active species: 9 Has fitness improved: no Number of generations without improvement: 6 Average fitness: 0.585696 Best fitness: 0.738661 Innovation number: 5 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 5949 [ fit.: 0.738661, part.: (0.965232, 0.936085, 0.997651, 0.200000, 0.985056, ), spec.: 0, adj.fit.: 0.001089, age: 1, parents (4845, 4923), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 7 Number of solutions: 1000 Number of species: 10 Number of active species: 9 Has fitness improved: no Number of generations without improvement: 7 Average fitness: 0.591770 Best fitness: 0.740515 Innovation number: 7 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 7301 [ fit.: 0.740515, part.: (0.981097, 0.937175, 0.996775, 0.200000, 0.981996, ), spec.: 0, adj.fit.: 0.001047, age: 0, parents (6332, 6832), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[cg 1-2 (cg gk amp. glob.-0.050000)]  (mutated)}]]
Current generation: 8 Number of solutions: 1000 Number of species: 12 Number of active species: 9 Has fitness improved: no Number of generations without improvement: 8 Average fitness: 0.600925 Best fitness: 0.740834 Innovation number: 7 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 8102 [ fit.: 0.740834, part.: (0.993130, 0.948343, 0.996017, 0.200000, 0.963969, ), spec.: 1, adj.fit.: 0.006674, age: 0, parents (7364, 7226), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 1 (fg gk width -0.500000)(fg gk amp.-0.500000)] [fg 2 (fg mhk amp. exc. -0.500000)(fg mhk width exc. -0.500000)(fg mhk amp. inh. -0.500000)(fg mhk width inh. -0.500000)]  (mutated)}]]
Current generation: 9 Number of solutions: 1000 Number of species: 13 Number of active species: 10 Has fitness improved: no Number of generations without improvement: 9 Average fitness: 0.597043 Best fitness: 0.743949 Innovation number: 9 Average genome size: 3.006000 Average connection genes: 1.004000 Average field genes: 2.002000 Best solution: [solution 9998 [ fit.: 0.743949, part.: (0.993995, 0.960830, 0.996594, 0.200000, 0.965972, ), spec.: 0, adj.fit.: 0.001107, age: 0, parents (8951, 8934), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 1 (fg gk amp.0.500000)] [fg 2 (fg nf tau -15.000000)(fg nf rest. lvl. -0.500000)] [cg 1-2 (cg to excitatory)]  (mutated)}]]
Current generation: 10 Number of solutions: 1000 Number of species: 13 Number of active species: 7 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.653959 Best fitness: 0.743941 Innovation number: 11 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 10399 [ fit.: 0.743941, part.: (0.994007, 0.958765, 0.996873, 0.200000, 0.967781, ), spec.: 0, adj.fit.: 0.001348, age: 0, parents (9998, 9211), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[cg 1-2 (cg gk amp.-0.500000)]  (mutated)}]]
Current generation: 11 Number of solutions: 1000 Number of species: 15 Number of active species: 6 Has fitness improved: no Number of generations without improvement: 1 Average fitness: 0.617968 Best fitness: 0.744722 Innovation number: 11 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 11818 [ fit.: 0.744722, part.: (0.999780, 0.994889, 0.994893, 0.200000, 0.932714, ), spec.: 0, adj.fit.: 0.001237, age: 0, parents (10325, 10502), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 1 (fg mhk amp. exc. -0.500000)(fg mhk amp. inh. -0.500000)] [fg 2 (fg nf tau -15.000000)(fg nf rest. lvl. -0.500000)] [cg 1-2 (cg gk width 0.500000)(cg gk amp.0.500000)]  (mutated)}]]
Current generation: 12 Number of solutions: 1000 Number of species: 17 Number of active species: 8 Has fitness improved: no Number of generations without improvement: 2 Average fitness: 0.617966 Best fitness: 0.745289 Innovation number: 13 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 12597 [ fit.: 0.745289, part.: (0.994008, 0.966482, 0.997027, 0.200000, 0.966685, ), spec.: 0, adj.fit.: 0.001107, age: 0, parents (10399, 11077), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[cg 1-2 (cg gk width -0.500000)(cg gk amp.-0.500000)]  (mutated)}]]
