Current generation: 0 Number of solutions: 1000 Number of species: 1 Number of active species: 1 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.582538 Best fitness: 0.745791 Innovation number: 0 Average genome size: 2.000000 Average connection genes: 0.000000 Average field genes: 2.000000 Best solution: [solution 260 [ fit.: 0.745791, part.: (0.987673, 0.000000, 0.996722, 0.998770, ), spec.: 0, adj.fit.: 0.000746, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {}, last mutations{}]]
Current generation: 1 Number of solutions: 1000 Number of species: 2 Number of active species: 2 Has fitness improved: no Number of generations without improvement: 1 Average fitness: 0.700376 Best fitness: 0.752133 Innovation number: 0 Average genome size: 2.145000 Average connection genes: 0.145000 Average field genes: 2.000000 Best solution: [solution 1432 [ fit.: 0.752133, part.: (0.966370, 0.055000, 0.997023, 0.990139, ), spec.: 0, adj.fit.: 0.000753, age: 0, parents (832, 811), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 1 (fg nf rest. lvl. -0.500000)] [fg 2 (fg gk amp. glob.-0.050000)] (added cg 1-2 innov.0)[cg 1-2 (cg gk width -0.500000)(cg gk amp.-0.500000)]  (mutated)}]]
Current generation: 2 Number of solutions: 1000 Number of species: 2 Number of active species: 2 Has fitness improved: no Number of generations without improvement: 2 Average fitness: 0.712913 Best fitness: 0.755337 Innovation number: 3 Average genome size: 2.636000 Average connection genes: 0.635000 Average field genes: 2.001000 Best solution: [solution 2234 [ fit.: 0.755337, part.: (0.971139, 0.055000, 0.997692, 0.997516, ), spec.: 0, adj.fit.: 0.000758, age: 0, parents (1549, 1789), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 1, enabled: true), }, last mutations{[fg 1 (fg mhk amp. exc. -0.500000)(fg mhk width exc. -0.500000)(fg mhk amp. inh. -0.500000)(fg mhk width inh. -0.500000)] [fg 2 (fg nf rest. lvl. -0.500000)] (added cg 1-2 innov.1)[cg 1-2 (cg gk width 0.500000)(cg gk amp. glob.0.050000)]  (mutated)}]]
Current generation: 3 Number of solutions: 1000 Number of species: 2 Number of active species: 2 Has fitness improved: no Number of generations without improvement: 3 Average fitness: 0.715254 Best fitness: 0.755162 Innovation number: 4 Average genome size: 2.724000 Average connection genes: 0.724000 Average field genes: 2.000000 Best solution: [solution 2234 [ fit.: 0.755162, part.: (0.971131, 0.055000, 0.997884, 0.996633, ), spec.: 0, adj.fit.: 0.000757, age: 1, parents (1549, 1789), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 1, enabled: true), }, last mutations{}]]
Current generation: 4 Number of solutions: 1000 Number of species: 4 Number of active species: 4 Has fitness improved: no Number of generations without improvement: 4 Average fitness: 0.716393 Best fitness: 0.754998 Innovation number: 5 Average genome size: 2.851000 Average connection genes: 0.851000 Average field genes: 2.000000 Best solution: [solution 2234 [ fit.: 0.754998, part.: (0.971153, 0.055000, 0.996916, 0.996924, ), spec.: 0, adj.fit.: 0.000786, age: 2, parents (1549, 1789), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 1, enabled: true), }, last mutations{}]]
Current generation: 5 Number of solutions: 1000 Number of species: 6 Number of active species: 6 Has fitness improved: no Number of generations without improvement: 5 Average fitness: 0.687544 Best fitness: 0.759999 Innovation number: 8 Average genome size: 2.975000 Average connection genes: 0.973000 Average field genes: 2.002000 Best solution: [solution 5035 [ fit.: 0.759999, part.: (0.991866, 0.055000, 0.997397, 0.995733, ), spec.: 0, adj.fit.: 0.000894, age: 0, parents (2234, 4179), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 1, enabled: true), }, last mutations{[fg 1 (fg mhk amp. exc. -0.500000)(fg mhk width exc. -0.500000)(fg mhk amp. inh. -0.500000)(fg mhk width inh. -0.500000)] [fg 2 ] [cg 1-2 (cg gk width 0.500000)]  (mutated)}]]
Current generation: 6 Number of solutions: 1000 Number of species: 10 Number of active species: 10 Has fitness improved: no Number of generations without improvement: 6 Average fitness: 0.676836 Best fitness: 0.760518 Innovation number: 9 Average genome size: 3.129000 Average connection genes: 1.084000 Average field genes: 2.045000 Best solution: [solution 6174 [ fit.: 0.760518, part.: (0.993251, 0.055000, 0.997344, 0.996476, ), spec.: 0, adj.fit.: 0.001049, age: 0, parents (5035, 5075), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 1, enabled: true), }, last mutations{[fg 1 (fg mhk amp. exc. -0.500000)(fg mhk width exc. -0.500000)(fg mhk amp. inh. -0.500000)] [fg 2 (fg gk width -0.500000)(fg gk amp.-0.500000)]  (mutated)}]]
Current generation: 7 Number of solutions: 1000 Number of species: 17 Number of active species: 17 Has fitness improved: no Number of generations without improvement: 7 Average fitness: 0.698804 Best fitness: 0.760623 Innovation number: 11 Average genome size: 3.808000 Average connection genes: 1.538000 Average field genes: 2.270000 Best solution: [solution 6174 [ fit.: 0.760623, part.: (0.993220, 0.055000, 0.997812, 0.996460, ), spec.: 0, adj.fit.: 0.001270, age: 1, parents (5035, 5075), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 1, enabled: true), }, last mutations{}]]
Current generation: 8 Number of solutions: 1000 Number of species: 33 Number of active species: 31 Has fitness improved: no Number of generations without improvement: 8 Average fitness: 0.727553 Best fitness: 0.760642 Innovation number: 12 Average genome size: 5.500000 Average connection genes: 2.667000 Average field genes: 2.833000 Best solution: [solution 6174 [ fit.: 0.760642, part.: (0.993252, 0.055000, 0.996892, 0.997423, ), spec.: 0, adj.fit.: 0.003130, age: 2, parents (5035, 5075), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 1, enabled: true), }, last mutations{}]]
Current generation: 9 Number of solutions: 1000 Number of species: 57 Number of active species: 55 Has fitness improved: no Number of generations without improvement: 9 Average fitness: 0.735803 Best fitness: 0.760744 Innovation number: 14 Average genome size: 6.541000 Average connection genes: 3.363000 Average field genes: 3.178000 Best solution: [solution 6174 [ fit.: 0.760744, part.: (0.993253, 0.055000, 0.997729, 0.996994, ), spec.: 0, adj.fit.: 0.007386, age: 3, parents (5035, 5075), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 1, enabled: true), }, last mutations{}]]
Current generation: 10 Number of solutions: 1000 Number of species: 63 Number of active species: 61 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.736060 Best fitness: 0.760859 Innovation number: 16 Average genome size: 5.531000 Average connection genes: 2.689000 Average field genes: 2.842000 Best solution: [solution 10121 [ fit.: 0.760859, part.: (0.993288, 0.055000, 0.997456, 0.997693, ), spec.: 19, adj.fit.: 0.004816, age: 0, parents (6174, 9031), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 1, enabled: true), }, last mutations{[cg 1-2 (cg gk width -0.500000)(cg gk amp.-0.500000)]  (mutated)}]]
Current generation: 11 Number of solutions: 1000 Number of species: 118 Number of active species: 93 Has fitness improved: no Number of generations without improvement: 1 Average fitness: 0.733576 Best fitness: 0.980322 Innovation number: 18 Average genome size: 7.222000 Average connection genes: 3.860000 Average field genes: 3.362000 Best solution: [solution 11852 [ fit.: 0.980322, part.: (0.993309, 0.934197, 0.997345, 0.996437, ), spec.: 9, adj.fit.: 0.023341, age: 0, parents (10219, 10180), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 1, enabled: true), }, last mutations{[fg 1 ] [fg 2 (fg gk width -0.500000)] [cg 1-2 (cg to excitatory)]  (mutated)}]]
